name,order_genus,genus,vore,order,conservation,sleep_total,sleep_rem,sleep_cycle,awake,brainwt,bodywt
Cheetah,"Carnivora, Acinonyx",Acinonyx,carni,Carnivora,lc,12.1,NA,NA,11.9,NA,50
Owl monkey,"Primates, Aotus",Aotus,omni,Primates,NA,17,1.8,NA,7,0.0155,0.48
Mountain beaver,"Rodentia, Aplodontia",Aplodontia,herbi,Rodentia,nt,14.4,2.4,NA,9.6,NA,1.35
Greater short-tailed shrew,"Soricomorpha, Blarina",Blarina,omni,Soricomorpha,lc,14.9,2.3,0.133333333,9.1,0.00029,0.019
Cow,"Artiodactyla, Bos",Bos,herbi,Artiodactyla,domesticated,4,0.7,0.666666667,20,0.423,600
Three-toed sloth,"Pilosa, Bradypus",Bradypus,herbi,Pilosa,NA,14.4,2.2,0.766666667,9.6,NA,3.85
Northern fur seal,"Carnivora, Callorhinus",Callorhinus,carni,Carnivora,vu,8.7,1.4,0.383333333,15.3,NA,20.49
Vesper mouse,"Rodentia, Calomys",Calomys,NA,Rodentia,NA,7,NA,NA,17,NA,0.045
Dog,"Carnivora, Canis",Canis,carni,Carnivora,domesticated,10.1,2.9,0.333333333,13.9,0.07,14
Roe deer,"Artiodactyla, Capreolus",Capreolus,herbi,Artiodactyla,lc,3,NA,NA,21,0.0982,14.8
Goat,"Artiodactyla, Capri",Capri,herbi,Artiodactyla,lc,5.3,0.6,NA,18.7,0.115,33.5
Guinea pig,"Rodentia, Cavis",Cavis,herbi,Rodentia,domesticated,9.4,0.8,0.216666667,14.6,0.0055,0.728
Grivet,"Primates, Cercopithecus",Cercopithecus,omni,Primates,lc,10,0.7,NA,14,NA,4.75
Chinchilla,"Rodentia, Chinchilla",Chinchilla,herbi,Rodentia,domesticated,12.5,1.5,0.116666667,11.5,0.0064,0.42
Star-nosed mole,"Soricomorpha, Condylura",Condylura,omni,Soricomorpha,lc,10.3,2.2,NA,13.7,0.001,0.06
African giant pouched rat,"Rodentia, Cricetomys",Cricetomys,omni,Rodentia,NA,8.3,2,NA,15.7,0.0066,1
Lesser short-tailed shrew,"Soricomorpha, Cryptotis",Cryptotis,omni,Soricomorpha,lc,9.1,1.4,0.15,14.9,0.00014,0.005
Long-nosed armadillo,"Cingulata, Dasypus",Dasypus,carni,Cingulata,lc,17.4,3.1,0.383333333,6.6,0.0108,3.5
Tree hyrax,"Hyracoidea, Dendrohyrax",Dendrohyrax,herbi,Hyracoidea,lc,5.3,0.5,NA,18.7,0.0123,2.95
North American Opossum,"Didelphimorphia, Didelphis",Didelphis,omni,Didelphimorphia,lc,18,4.9,0.333333333,6,0.0063,1.7
Asian elephant,"Proboscidea, Elephas",Elephas,herbi,Proboscidea,en,3.9,NA,NA,20.1,4.603,2547
Big brown bat,"Chiroptera, Eptesicus",Eptesicus,insecti,Chiroptera,lc,19.7,3.9,0.116666667,4.3,3.00E-04,0.023
Horse,"Perissodactyla, Equus",Equus,herbi,Perissodactyla,domesticated,2.9,0.6,1,21.1,0.655,521
Donkey,"Perissodactyla, Equus",Equus,herbi,Perissodactyla,domesticated,3.1,0.4,NA,20.9,0.419,187
European hedgehog,"Erinaceomorpha, Erinaceus",Erinaceus,omni,Erinaceomorpha,lc,10.1,3.5,0.283333333,13.9,0.0035,0.77
Patas monkey,"Primates, Erythrocebus",Erythrocebus,omni,Primates,lc,10.9,1.1,NA,13.1,0.115,10
Western american chipmunk,"Rodentia, Eutamias",Eutamias,herbi,Rodentia,NA,14.9,NA,NA,9.1,NA,0.071
Domestic cat,"Carnivora, Felis",Felis,carni,Carnivora,domesticated,12.5,3.2,0.416666667,11.5,0.0256,3.3
Galago,"Primates, Galago",Galago,omni,Primates,NA,9.8,1.1,0.55,14.2,0.005,0.2
Giraffe,"Artiodactyla, Giraffa",Giraffa,herbi,Artiodactyla,cd,1.9,0.4,NA,22.1,NA,899.995
Pilot whale,"Cetacea, Globicephalus",Globicephalus,carni,Cetacea,cd,2.7,0.1,NA,21.35,NA,800
Gray seal,"Carnivora, Haliochoerus",Haliochoerus,carni,Carnivora,lc,6.2,1.5,NA,17.8,0.325,85
Gray hyrax,"Hyracoidea, Heterohyrax",Heterohyrax,herbi,Hyracoidea,lc,6.3,0.6,NA,17.7,0.01227,2.625
Human,"Primates, Homo",Homo,omni,Primates,NA,8,1.9,1.5,16,1.32,62
